...1;strain;genotype;time;IL1;IL6;IL17;KC;MCP;TNF
Sample ID: C57Ola 1320 PS;1;1;1;2,18;5,04;8,16;41,56;47,04;9,14
Sample ID: C57Ola 1320 OS;1;1;2;16,95;10,1;23,99;72,16;49,42;25,75
Sample ID: C57Ola 1320 SY;1;1;3;1,71;140,12;12,32;254,45;85,04;9,14
Sample ID: C57Ola 1321 PS;1;1;1;1,71;5,04;1,84;139,55;9,86;9,14
Sample ID: C57Ola 1321 OS;1;1;2;1,71;13,97;8,37;99,93;9,86;9,14
Sample ID: C57Ola 1321 SY;1;1;3;1,71;33,02;10,66;292,45;11,52;9,14
Sample ID: C57Ola 1315 PS;1;1;1;1,71;1,65;4,52;100,34;27,69;9,14
Sample ID: C57Ola 1315 OS;1;1;2;1,71;92,05;11,49;141,2;33,86;9,14
Sample ID: C57Ola 1315 SY;1;1;3;1,71;7,55;7,73;159,4;9,86;9,14
Sample ID: C57Ola 1316 PS;1;1;1;3,86;14,62;7,95;130,1;33,86;9,14
Sample ID: C57Ola 1316 OS;1;1;2;1,71;8,18;7,95;38,79;9,86;9,14
Sample ID: C57Ola 1316 SY;1;1;3;1,71;7,23;6,03;86,61;39,44;9,14
Sample ID: C57Ola 1317 PS;1;1;1;1,71;1,96;0,41;40,37;9,86;9,14
Sample ID: C57Ola 1317 OS;1;1;2;1,71;2,57;2,97;62,58;9,86;9,14
Sample ID: C57Ola 1317 SY;1;1;3;1,71;10,1;4,74;208,85;11,52;9,14
Sample ID: C57Ola 1311 PS;1;0;1;1,71;1,35;0,15;47,89;20,58;9,14
Sample ID: C57Ola 1311 OS;1;0;2;1,71;1,65;0,15;14,3;9,86;9,14
Sample ID: C57Ola 1311 SY;1;0;3;1,71;0,15;0,66;82,58;11,52;9,14
Sample ID: C57Ola 1312 PS;1;0;1;1,71;7,55;9,42;59;20,58;9,14
Sample ID: C57Ola 1312 OS;1;0;2;1,71;5,66;12,93;32,48;9,86;9,14
Sample ID: C57Ola 1312 SY;1;0;3;1,71;150,18;16,8;305,07;9,86;9,14
Sample ID: C57Ola 1313 PS;1;0;1;5,42;0,15;3,64;11,9;20,58;18,16
Sample ID: C57Ola 1313 OS;1;0;2;1,71;1,65;4,52;79,37;20,58;9,14
Sample ID: C57Ola 1313 SY;1;0;3;1,71;27,92;8,16;105,61;9,86;9,14
Sample ID: C57Ola 1304 PS;1;0;1;1,71;3,49;3,42;58,2;27,69;9,14
Sample ID: C57Ola 1304 OS;1;0;2;1,71;206,29;6,46;89,43;20,58;9,14
Sample ID: C57Ola 1304 SY;1;0;3;1,71;2,57;5,6;28,53;20,58;9,14
Sample ID: C57Ola 1322 PS;1;0;1;1,71;8,18;4,74;89,02;11,52;9,14
Sample ID: C57Ola 1322 OS;1;0;2;1,71;10,1;9,42;57,81;4,7;9,14
Sample ID: C57Ola 1322 SY;1;0;3;1,71;4,42;7,73;171,06;11,52;9,14
Sample ID: 129sv 1295 PS;0;1;1;1,71;15,27;3,42;41,16;11,52;9,14
Sample ID: 129sv 1295 OS;0;1;2;3,86;150,18;3,86;111,3;33,86;14,76
Sample ID: 129sv 1295 SY;0;1;3;2,18;55,71;5,6;49,08;11,52;9,14
Sample ID: 129sv 1296 PS;0;1;1;1,71;34,74;11,08;37,21;9,86;9,14
Sample ID: 129sv 1296 OS;0;1;2;2,18;32;4,3;72,16;39,44;13,51
Sample ID: 129sv 1296 SY;0;1;3;1,71;35,42;6,03;58,6;20,58;9,14
Sample ID: 129sv 1297 PS;0;1;1;1,71;1,35;4,3;50,66;11,52;9,14
Sample ID: 129sv 1297 OS;0;1;2;1,71;17,9;6,46;34,45;9,86;1,8
Sample ID: 129sv 1297 SY;0;1;3;9,85;8,18;5,82;45,12;27,69;1,8
Sample ID: 129sv 1298 PS;0;1;1;1,71;1,96;4,08;22,22;9,86;9,14
Sample ID: 129sv 1298 OS;0;1;2;25,37;32,68;16,39;232,63;88,46;70,55
Sample ID: 129sv 1298 SY;0;1;3;13,42;145,92;14,77;183,6;74,27;57,08
Sample ID: 129sv 1299 PS;0;1;1;16,95;536,45;29,1;215,63;58,36;47,06
Sample ID: 129sv 1299 OS;0;1;2;15,54;100,24;15,99;18,27;74,27;41,97
Sample ID: 129sv 1299 SY;0;1;3;15,54;105,48;25,37;47,49;70,49;45,19
Sample ID: 129sv 1289 PS;0;0;1;15,54;17,9;13,96;129,69;49,42;55,38
Sample ID: 129sv 1289 OS;0;0;2;16,95;18,56;16,8;204,63;74,27;56,52
Sample ID: 129sv 1289 SY;0;0;3;1,71;3,18;5,17;101,96;9,86;37,94
Sample ID: 129sv 1290 PS;0;0;1;2,18;0,15;3,42;22,22;20,58;9,14
Sample ID: 129sv 1290 OS;0;0;2;1,71;3,18;2,07;27,35;33,86;5,15
Sample ID: 129sv 1290 SY;0;0;3;1,71;3,18;3,42;30,11;11,52;1,8
Sample ID: 129sv 1309 PS;0;0;1;1,71;0,15;4,74;38,79;9,86;5,15
Sample ID: 129sv 1309 OS;0;0;2;2,18;6,29;2,52;76,16;20,58;15,95
Sample ID: 129sv 1309 SY;0;0;3;1,71;4,11;2,07;61,78;4,7;1,8
Sample ID: 129sv 1261 PS;0;0;1;1,71;0,75;3,86;25,77;11,52;9,14
Sample ID: 129sv 1261 OS;0;0;2;1,71;1,96;2,07;9,49;9,86;9,14
Sample ID: 129sv 1261 SY;0;0;3;1,71;0,15;2,52;26,17;27,69;9,14
Sample ID: 129sv 1262 PS;0;0;1;1,71;3,18;3,2;26,17;11,52;7,34
Sample ID: 129sv 1262 OS;0;0;2;1,71;6,92;5,82;28,14;20,58;10,73
Sample ID: 129sv 1262 SY;0;0;3;1,71;8,82;4,3;26,96;9,86;9,14
